Song Name,URL,Artist,Lyrics
CARINVAL,https://genius.com/Kanye-west-ty-dolla-sign-and-rich-the-kid-carnival-lyrics,"¥$, Kanye West, Ty Dolla $ign & Rich The Kid","Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go
Ha, ha, ha, schyeah[Verse 1: Rich The Kid & Playboi Carti]
Way too rich to drive a Rove'
Made a milli' off the stove
She like to put it in her nose
Pretty bitch with white toes
I done put on all the bros
I done fucked her in the Rolls (Hahahaha)
I done pulled up in the Ghost
I done reach_d all my goals
Yeah, yeah, pull up with Yeezy and Dolla $ign
I'm all about business, I'm mindin' min_
Pull up in the trenches like Columbine
Pull up with the rocket like NumbaNine
I don't want your hoes
Young nigga reach all the goals
Let her suck the dick, said she was a pro
If she scrape her teeth, I'ma tell her to go [Chorus: Rich The Kid with Choir, Ty Dolla $ign & Playboi Carti]
Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible
Go, go, go, go (Ha, ha)
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible (Dolla $ign)

[Verse 2: Ty Dolla $ign]
She ride it like Six Flags
We turn up to the max
I whop her from the back
I gave that bitch a cramp
They love me out in France
In the hood, I'm good, I'm stamped
Every day, I dress all black
For a show, nine hundred racks
Middle East call, double that
On my neck a bubble bath
On my wrist, new Cadillac
Cut her off, don't want her back
Little bitch, I'm a superstar
These hoes wanna fuck my car
My dog put a nigga in park
Gotta watch out for the narcs, ayy [Verse 3: Kanye West]
This that Game of Thrones, Yeezy, not the clones
Elon, where my rocket ship? It's time to go home
They served us the porn since the day we was born
Anybody pissed off, gotta make 'em drink the urine
Now I'm Ye-Kelly, bitch, now I'm Bill Cosby, bitch
Now, I'm Puff Daddy rich, that's Me Too me rich
Why she say she sucked my dick? Then she say she ain't sucked my dick?
She gon' take it up the ass like a ventriloquist
I mean since Taylor Swift, since I had the Rollie on the wrist
I'm the new Jesus, bitch, I turn water to Cris'
This for what they did to Chris, they can't do shit with this
Got my kids in a fake school, we ain't�

[Chorus: Rich The Kid with Choir & Playboi Carti]
Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival (Schyeah)
I done did the impossible (Schyeah)
Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible

[Verse 4: Playboi Carti]
She ride the dick like a carnival
Bend her over, havin' flashbacks, she gon' eat me up like a carnivore
It's the way I pop my shit, the hoes not ready, I'm goin' barnacles
Movin', I feel like I'm Jason, can't get arrested, I make 'em stumble
She want a private section, roll off them X's when I'm on Melrose
She tatted my name on her titties, yeah, you can bust it, but it's a borrow
Hol' up, sittin' back, countin' up dubs, I was raised in the borough
She wanna taste it, checkin' the swag today, ho, come back tomorrow
If you know what I know, hide your ho
Just off the facts that we havin' them hunchos
Runnin' around in the lobby, I know that they tired of me havin' like ten hoes
She need some cresidentials just to be presidential, hol' up, hol' up
I'm 'bout to buy her some dentures, make that ho eat me for dinner, woah, woah
Pain all in my eyes, I can't see, uh
I'm 'bout to jump out my body, I'm ready to leap, uh
I'm 'bout to nut on her body and tell the ho leave, 'kay
Fifty mil' stuffed in the bag, tell the whole gang eat, uh
It's Ye and Barti, tell me who fuckin' with we?
I'm hot like Tha Carter, I'm feelin' that ho in my sleep
Dollar signs all in my dreams, I don't never see Z's, woah (Woah-woah)
The swag cover my body like it's a disease, woah (Woah-woah)
[Chorus: Choir]
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible"
we can’t be friends (wait for your love),https://genius.com/Ariana-grande-we-cant-be-friends-wait-for-your-love-lyrics,Ariana Grande,"I didn't think you'd understand me
How could you ever even try?
I don't wanna tiptoe, but I don't wanna hide
But I don't wanna feed this monstrous fire
Just wanna let this story die
And I'll be alright

We can't be friends
But I'd like to just pretend
You cling to your papers and pens
Wait until you like me again

Wait for your love
My love, I'll wait for your love

Me and my truth, we sit in silence
Mm
Baby girl, it's just me and you
'Cause I don't wanna argue, 
but I don't wanna bite
My tongue, yeah, I think I'd rather die
You got me misunderstood
But at least I look this good
You might also like

We can't be friends
But I'd like to just pretend
You cling to your papers and pens
Wait until you like me again

Wait for your love
My love, I'll wait for your love
I'll wait for your love
My love, I'll wait for your love

Know that you made me
I don't like how you paint me, yet I'm still here hanging
Not what you made me
It's somethin' like a daydream
But I feel so seen in the night
So for now, it's only me
And maybe that's all I need

We can't be friends
But I'd like to just pretend
You cling to your papers and pens
Wait until you like me again

Wait for your love
My love, I'll wait for your love
I'll wait for your love
My love, I'll wait for your love

I'll wait for your love
I'll wait for your love
I'll wait for your love
I'll wait for your love
I'll wait for your love
7"
eternal sunshine,https://genius.com/Ariana-grande-eternal-sunshine-lyrics,Ariana Grande,"[Verse 1]
I don't care what people say
We both know I couldn't change you
I guess you could say the same
Can't rearrange truth
I've never seen someone lie like you do
So much, even you start to think it's true
Ooh
Get me out of this loop, yeah, yeah

[Pre-Chorus]
So now we play our separate scenes
Now, now she's in my bed, mm-mm, layin' on your chest
Now I'm in my head, wonderin' how it ends

[Chorus]
I'll be the first to say, ""I'm sorry""
Now you got me feelin' sorry
I showed you all my demons, all my lies
Yet you played me like Atari
Now it's like I'm lookin' in the mirror
Hope you feel alright when you're in her
I found a good boy and he's on my side
You're just my eternal sunshine, sunshine So I try to wipe my mind
Just so I feel less insane
Rather feel painless
I'd rather forget than know, know for sure
What we could've fought through behind this door, mm
So I close it and move, yeah, yeah

[Pre-Chorus]
So now we play our separate scenes
Now, now he's in your bed, and layin' on my chest
Now I'm in my head, and wonderin' how it ends, ends, ends

[Chorus]
I'll be the first to say, ""I'm sorry""
Now you got me feelin' sorry
I showed you all my demons, all my lies
Yet you played me like Atari
Now it's like I'm lookin' in the mirror
Hope you feel alright when you're in her
I found a good boy and he's on my side
You're just my eternal sunshine, sunshine

[Bridge]
Won't break, can't shake
This fate, rewrite
Deep breaths, tight chest
Life, death, rewind
Won't (Won't) break (Won't), can't (Can't) shake (Shake)
This (This) fate (Fate), rewrite
Deep (Deep) breaths (Breaths), tight (Tight) chest (Chest)
Life (Life), death (Death) [Chorus]
I'll be the first to say, ""I'm sorry""
Now you got me feelin' sorry
I showed you all my demons, all my lies
Yet you played me like Atari
Now it's like I'm lookin' in the mirror (Won't break, can't shake)
Hope you feel alright when you're in her (This fate, rewrite)
I found a good boy and he's on my side (Deep breaths, tight chest)
You're just my eternal sunshine, sunshine (Life, death, rewind)

[Outro]
Won't (Won't) break (Won't), can't (Can't) shake (Shake)
This (This) fate (Fate), rewrite
Deep (Deep) breaths (Breaths), tight (Tight) chest (Chest)
Life (Life), death (Death), rewind
Won't (Won't) break (Won't), can't (Can't) shake (Shake)
This (This) fate (Fate), rewrite
Deep (Deep) breaths (Breaths), tight (Tight) chest (Chest)
Life (Life), death (Death)"
Saturn,https://genius.com/Sza-saturn-lyrics,SZA,"If there's another universe
Please make some noise 
Give me a sign 
This can't be life
If there's a point to losing love
Repeating pain 
It's all the same 
I hate this place

Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more
Sick of this head of mine
Intrusive thoughts, they paralyzе
Nirvana's not as advertised
Therе's got to be more, been here before

Ooh 
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh 
Find something worth saving
It's all for the taking
I always say
See SZA Live
Get tickets as low as $157
You might also like

I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

If karma's really real
How am I still here?
Just seems so unfair
I could be wrong though
If there's a point to being good
Then where's my reward?
The good die young and poor
I gave it all I could

Stuck in this terradome 
All I see is terrible 
Making us hysterical 
There's got to be more, got to be more
Sick of this head of mine 
Intrusive thoughts, they paralyze 
Nirvana's not as advertised 
There's got to be more, been here before

Ooh 
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh 
Find something worth saving
It's all for the taking
I always say

I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh



8"
​the boy is mine,https://genius.com/Ariana-grande-the-boy-is-mine-lyrics,Ariana Grande,"How can it be? You and me
Might be meant to be, can't unsee it
But I don't wanna cause no scene
I'm usually so unproblematic
So independent, tell me why
'Cause the boy is mine, mine

Somethin' about him is made for somebody like me
Baby, come over, come over 
And God knows I'm tryin', but there's just no use in denying

The boy is mine
I can't wait to try him
Le-let's get intertwined
The stars, they aligned
Thе boy is mine
Watch me take my timе
I can't believe my mind
The boy is divine
Boy is mine

Please know this ain't what I planned for
Probably wouldn't bet a dime or my life on
There's gotta be a reason why
My girls, they always come through in a sticky situation
Say, ""It's fine"" 
Happens all the time
You might also like

Somethin' about him is made for somebody like me
Baby, come over, come over 
And God knows I'm tryin', but there's just no use in denying

The boy is mine
I can't wait to try him
Le-let's get intertwined
The stars, they aligned
The boy is mine
Watch me take my time
I can't believe my mind
The boy is divine
Boy is—

And I know it's simply meant to be
And I, I take full accountability for all these tears
Promise you I'm not usually
Like this, shit, it's like news to me, to me
But I can't ignore my heart, boy

The boy is mine
I can't wait to try him 
Le-let's get intertwined
The stars, they aligned
The boy is mine
Watch me take my time
I can't believe my mind
The boy is divine
Boy is mine
4"
Mockingbird,https://genius.com/Eminem-mockingbird-lyrics,Eminem,"Yeah
I know sometimes
Things may not always make sense to you right now
But hey
What Daddy always tell you?
Straighten up, little soldier
Stiffen up that upper lip
What you cryin' about?
You got me

Hailie, I know you miss your Mom, and I know you miss your Dad
When I'm gone, but I'm tryin' to give you the life that I never had
I can see you're sad, even when you smile, even when you laugh
I can see it in your eyes, deep inside you wanna cry
'Cause you're scared, I ain't there, Daddy's wit' you in your prayers
No more cryin', wipe them tears, Daddy's here, no more nightmares
We gon' pull together through it, we gon' do it
Lainie, Uncle's crazy, ain't he? Yeah, but he loves you, girl, and you better know it
We're all we got in this world when it spins, when it swirls
When it whirls, when it twirls, two little beautiful girls
Lookin' puzzled, in a daze, I know it's confusin' you
Daddy's always on the move, Mama's always on the news
I try to keep you sheltered from it, but somehow it seems
The harder that I try to do that, the more it backfires on me
All the things growin' up as Daddy that he had to see
Daddy don't want you to see, but you see just as much as he did
We did not plan it to be this way, your mother and me
But things have got so bad between us, I don't see us ever bein'
Together ever again, like we used to be when we was teenagers
But then, of course, everything always happens for a reason
I guess it was never meant to be
But it's just somethin' we have no control over, and that's what destiny is
But no more worries, rest your head and go to sleep
Maybe one day we'll wake up and this'll all just be a dream
You might also like

Now hush, little baby, don't you cry
Everything's gonna be alright
Stiffen that upper lip up, little lady, I told ya
Daddy's here to hold ya through the night
I know Mommy's not here right now and we don't know why
We feel how we feel inside
It may seem a little crazy, pretty baby
But I promise Mama's gon' be alright

Heh, it's funny
I remember back one year when Daddy had no money
Mommy wrapped the Christmas presents up and stuck 'em under the tree
And said some of 'em were from me 'cause Daddy couldn't buy 'em
I'll never forget that Christmas, I sat up the whole night crying
'Cause Daddy felt like a bum—see, Daddy had a job
But his job was to keep the food on the table for you and Mom
And at the time, every house that we lived in
Either kept gettin' broken into and robbed or shot up on the block
And your Mom was savin' money for you in a jar
Tryin' to start a piggy bank for you so you could go to college
Almost had a thousand dollars 'til someone broke in and stole it
And I know it hurt so bad it broke your Mama's heart
And it seemed like everything was just startin' to fall apart
Mom and Dad was arguin' a lot
So Mama moved back on to Chalmers in the flat, one-bedroom apartment
And Dad moved back to the other side of 8 Mile on Novara
And that's when Daddy went to California with his CD
And met Dr. Dre, and flew you and Mama out to see me
But Daddy had to work, you and Mama had to leave me
Then you started seein' Daddy on the TV
And Mama didn't like it
And you and Lainie were too young to understand it
Papa was a rolling stone, Mama developed a habit
And it all happened too fast for either one of us to grab it
I'm just sorry you were there and had to witness it firsthand
'Cause all I ever wanted to do was just make you proud
Now I'm sittin' in this empty house just reminiscin'
Lookin' at your baby pictures, it just trips me out
To see how much you both have grown, it's almost like you're sisters now
Wow, guess you pretty much are, and Daddy's still here
Lainie, I'm talkin' to you too, Daddy's still here
I like the sound of that, yeah, it's got a ring to it, don't it?
Shh! Mama's only gone for the moment

Now hush, little baby, don't you cry
Everything's gonna be alright
Stiffen that upper lip up, little lady, I told ya
Daddy's here to hold ya through the night
I know Mommy's not here right now and we don't know why
We feel how we feel inside
It may seem a little crazy, pretty baby
But I promise Mama's gon' be alright

And if you ask me to, Daddy's gonna buy you a mockingbird
I'ma give you the world
I'ma buy a diamond ring for you, I'ma sing for you
I'll do anything for you to see you smile
And if that mockingbird don't sing and that ring don't shine
I'ma break that birdie's neck
I'll go back to the jeweler who sold it to ya
And make him eat every carat
, 
don't fuck with Dad!
 

409"
Overcompensate,https://genius.com/Twenty-one-pilots-overcompensate-lyrics,​twenty one pilots,"(
Diese kleine unheimliche Insel hat mich zu einer Waffe gemacht
)
(
Wir glauben beide—
)
(
Cette petite île étrange a fait de moi une arme
)
(
Nous croyons tous les deux que nous pouvons l'utiliser pour changer l'élan de cette guerre
)
(
Esta pequeña isla espeluznante me ha convertido en un arma
)
(
Ambos creemos que podemos usarlo para cambiar el impulso de esta guerra
)
Welcome back to Trench
Welcome back to Trench

I created this world
To feel some control
Destroy it if I want
So I sing Sahlo Folina
Sahlo Folina



Earned my stripes, three hundred tracks in my Adidas track jacket
Bless your ear holes while you react, acting
Gobsmacked, 
don't hesitate
To maybe overcompensate
I feel like I was just here, same twitchin' in my eyes
Don't sleep on a boy who can't fall asleep twice
In the same night,
 
and won't hesitate
To maybe overcompensate
You might also like

I said I fly by the dangerous bend symbol 
Mm, don't hesitate to maybe overcompensate
And then by the time I catch in my peripheral 
Mm, don't hesitate to maybe overcompensate

Where am I from? I was born right here, just now
Originated right in front of your eyes
If you can't see, I am Clancy, prodigal son
Done running,
 
come up with Josh Dun, wanted dead or alive
So now you pick who you serve,
 
you bow to the masses
Get kicked to the curb for passin' the classes
Half empty, half full, save half for your taxes
Then overtake your former self

I fly by the dangerous bend symbol 
Mm, don't hesitate to maybe overcompensate
And then by the time I catch in my peripheral 
Mm, don't hesitate to maybe overcompensate

Days feel like a perfect length
I don't need them any longer, but for goodness' sake
Do the years seem way too short for my soul, corazón
Way too short for my soul, corazón
The days feel like a perfect length
I don't need them any longer, but for goodness' sake
Do the years seem way too short for my soul, corazón
Way too short for my soul, corazón

Earned my stripes, three hundred tracks in my Adidas track jacket
Bless your ear holes while you react, acting
Gobsmacked, 
don't hesitate
To maybe overcompensate

I said I fly by the dangerous bend symbol 
Mm, don't hesitate to maybe overcompensate
And then by the time I catch in my peripheral 
Mm, don't hesitate to maybe overcompensate
30"
don’t wanna break up again,https://genius.com/Ariana-grande-dont-wanna-break-up-again-lyrics,Ariana Grande,"Mm

I fall asleep cryin'
You turn up the TV
You don't wanna hear me
One more sleepless night
Big day in the morning
So, I take my time to self-soothe

I'm too much for you
So I really gotta do
The thing I don't wanna do
No, I don't, don't, don't, don't

I don't wanna fuck with your head
It's breakin' my heart
To keep breakin' yours again 
This situationship has to end
But I just can't refuse
I don't wanna break up again , baby

I made it so easy
Spent so much on therapy
Blamed my own codependency
But you didn't even try
When you finally did, it was at the wrong time
Won't abandon me again for you and I, I
You might also like

I'm too much for you
So I really gotta do
The thing I don't wanna do
No, I don't, don't, don't, don't

I don't wanna fuck with your head
It's breakin' my heart 
To keep breakin' yours again 
This situationship has to end
But I just can't refuse
I don't wanna break up again 

We both know it's time
So we say goodbye
Just one kiss goodbye
With tears in our eyes
Hope you won't, won't regret me
Hope you'll still think fondly of our little life

I don't wanna fuck with your head
It's breakin' my heart 
To keep breakin' yours again 
This situationship has to end
But I just can't refuse
I don't wanna break up again , baby



Don't wanna break up again 
I don't wanna, baby
Situationship has to end 
Just can't refuse
Ooh
1"
i wish i hated you,https://genius.com/Ariana-grande-i-wish-i-hated-you-lyrics,Ariana Grande,"Hung all my clothes in the closet you made
Your shoes still in boxes, I send them your way
Hoping life brings you no new pain

I rearrange my memories
I try to rewrite our life

But no matter how I try to 
And no matter how I want to 
And no matter how easy things could be if I did
And no matter how guilty I still feel saying it
I wish I hated you
I wish that weren't true
Wish there was worse to you
I wish you were worse to me
Yeah, I wish I hated you

Our shadows dance in a parallel plane
Just two different endings, you learn to repair
And I learn to keep me in one place

So close  and yet so far 
If only we had known from the start
You might also like

But no matter how I try to 
And no matter how I want to 
And no matter how easy things could be if I did
And no matter how guilty I still feel saying it
I wish I hated you
I wish that weren't true
Wish there was worse to you
I wish you were worse to me
Yeah, I wish I hated you
2"
supernatural,https://genius.com/Ariana-grande-supernatural-lyrics,Ariana Grande,"Don't want nobody else around me
Just need you right here
You're like the only thing that I see
It's 
crystal-clear
, and I

I want you to come claim it, I do
What are you waiting for?
Yeah, I want you to name it, I do
Want you to make it yours

It's like supernatural
This love's possessin' me, but I don't mind at all
It's like supernatural
It's takin' over me, don't wanna fight the fall
It's like supernatural
 Mm
It's like supernatural 
 Mm
You might also like

Need your hands all up on my body
Like the moon needs thе stars
 
Nothin' еlse felt this way inside me
Boy, let's go too far

I want you to come claim it, I do
What are you waiting for? 
Yeah, I want you to name it, I do
Want you to make it yours

It's like supernatural
This love's possessin' me, but I don't mind at all
It's like supernatural
It's takin' over me, don't wanna fight the fall
It's like supernatural
 No, I don't even mind at all, mm
It's like supernatural
 No, I don't even mind at all

Yeah , mm
I want you to come claim it, I do 

You to come name it, I do 

This love's possessin' me, but I don't mind at all
It's like supernatural
It's takin' over me, don't wanna fight the fall
It's like supernatural
 No, I don't even mind at all, mm
It's like supernatural 
 No, I don't even mind at all
It's like supernatural
5"
