WesternConference,W,L,WL,GB,PSG,PAG,SRS,PLY
Denver Nuggets,53,29,.646,0,115.8,112.5,3.04,1
Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60,1
Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30,1
Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08,1
Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31,1
Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66,1
Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43,1
Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22,1
New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63,1
Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96,1
Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14,0
Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03,0
Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96,0
Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62,0
San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82,0
