Year,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,ORtg,DRtg,Attend./G,Win %,Playoff
18-19,0.476,0.353,0.565,0.773,49.7,26.0,7.5,5.9,13.9,19.6,118.1,8.04,113.8,105.2,17602.0,0.7317073170731707,1
18-19,0.491,0.385,0.557,0.801,46.2,29.4,7.6,6.4,14.3,21.4,117.7,6.42,115.9,109.5,19596.0,0.6951219512195121,1
18-19,0.473,0.344,0.536,0.761,47.3,27.0,7.4,5.4,14.8,21.1,115.4,-1.1,111.4,112.6,16004.0,0.4024390243902439,0
18-19,0.471,0.359,0.529,0.771,47.8,26.9,7.4,5.3,14.9,21.3,115.2,2.25,112.6,110.0,20447.0,0.6219512195121951,1
18-19,0.471,0.388,0.507,0.792,45.5,24.0,6.8,4.7,14.5,23.3,115.1,1.09,112.4,111.5,17325.0,0.5853658536585366,1
18-19,0.467,0.359,0.523,0.814,48.0,23.0,6.7,5.0,13.8,20.4,114.7,4.43,114.7,110.5,19496.0,0.6463414634146342,1
18-19,0.454,0.348,0.51,0.713,48.1,23.4,9.3,5.2,14.0,22.4,114.5,3.56,110.3,107.0,18203.0,0.5975609756097561,1
18-19,0.474,0.366,0.539,0.804,45.2,25.4,8.3,5.3,14.0,21.0,114.4,5.49,113.1,107.1,19825.0,0.7073170731707317,1
18-19,0.464,0.378,0.504,0.726,45.4,25.4,8.3,4.4,13.4,21.4,114.2,-0.81,110.4,111.5,17097.0,0.4756097560975609,0
18-19,0.468,0.341,0.543,0.768,42.4,26.3,8.3,4.6,14.1,20.7,114.0,-3.3,111.1,113.9,17448.0,0.3902439024390244,0
18-19,0.449,0.356,0.551,0.791,42.1,21.2,8.5,4.9,13.3,22.0,113.9,4.96,115.5,110.7,18058.0,0.6463414634146342,1
18-19,0.451,0.352,0.518,0.752,46.1,25.8,8.2,5.1,17.0,23.6,113.3,-6.06,108.1,113.9,15328.0,0.3536585365853658,0
18-19,0.456,0.351,0.504,0.787,44.8,24.6,8.3,5.0,13.1,20.3,112.5,-1.02,111.4,112.9,15306.0,0.4390243902439024,0
18-19,0.465,0.365,0.527,0.802,44.5,26.3,8.6,5.3,12.8,20.4,112.4,3.9,112.2,107.8,18624.0,0.5975609756097561,1
18-19,0.449,0.353,0.513,0.745,46.6,23.8,6.6,4.1,15.1,21.5,112.2,-0.4,109.6,109.7,14941.0,0.5121951219512195,1
18-19,0.47,0.333,0.541,0.699,46.6,25.6,7.5,5.4,15.7,20.7,111.8,-1.33,107.8,109.5,18997.0,0.4512195121951219,0
18-19,0.478,0.392,0.513,0.819,44.7,24.5,6.1,4.7,12.1,18.1,111.7,1.8,112.9,111.2,18308.0,0.5853658536585366,1
18-19,0.468,0.356,0.541,0.736,46.4,26.0,8.1,5.9,15.1,21.1,111.7,5.28,110.9,105.7,18306.0,0.6097560975609756,1
18-19,0.466,0.351,0.527,0.755,46.4,27.4,7.7,4.4,13.4,20.0,110.7,4.19,113.0,108.9,18450.0,0.6585365853658537,1
18-19,0.448,0.351,0.507,0.797,43.8,23.2,7.2,4.9,12.2,18.9,110.7,-1.32,111.4,112.5,16502.0,0.4756097560975609,0
18-19,0.447,0.34,0.524,0.742,45.3,23.4,6.5,4.3,14.2,20.1,108.9,-0.87,109.4,110.7,20014.0,0.4024390243902439,0
18-19,0.475,0.374,0.517,0.752,43.0,26.0,8.7,4.9,13.7,19.4,108.0,2.76,109.9,106.5,16812.0,0.5853658536585366,1
18-19,0.459,0.329,0.525,0.779,40.4,23.9,9.0,5.1,15.6,23.6,107.5,-8.61,105.9,115.1,15293.0,0.2317073170731707,0
18-19,0.454,0.356,0.509,0.782,45.4,25.5,6.6,5.4,13.2,18.6,107.3,0.28,108.9,108.1,17431.0,0.5121951219512195,1
18-19,0.44,0.348,0.5,0.747,45.0,22.5,6.9,4.0,13.8,22.1,107.0,-0.56,109.0,109.2,16487.0,0.5,1
18-19,0.45,0.349,0.509,0.695,46.3,24.3,7.6,5.5,14.7,20.9,105.7,-0.45,107.3,107.6,19641.0,0.4756097560975609,0
